step   first_run   mean_reward_runs   std_reward_runs   percentage_opt_action
638 1 0.854351 0.220062 0.115
639 1 0.846824 0.229806 0.106
640 0.857936 0.844731 0.227192 0.1305
641 0.936766 0.850492 0.223079 0.111
642 1 0.85774 0.218209 0.1225
643 0.727287 0.851918 0.223498 0.1095
644 1 0.852553 0.222979 0.105
645 1 0.851017 0.225818 0.12
646 0.875423 0.852935 0.223943 0.119
647 1 0.850398 0.223437 0.1185
648 0.595019 0.847799 0.22742 0.116
649 1 0.855946 0.220159 0.115
650 0.793176 0.853182 0.223585 0.1185
651 1 0.858017 0.220633 0.122
652 0.590625 0.851975 0.222451 0.117
653 0.589434 0.850881 0.227671 0.1125
654 0.569201 0.852762 0.21907 0.106
655 0.816065 0.861481 0.216472 0.1165
656 0.67275 0.856709 0.223112 0.115
657 1 0.853881 0.225719 0.116
658 1 0.853729 0.21618 0.1165
659 1 0.853152 0.222821 0.129
660 1 0.859207 0.216655 0.116
661 1 0.859433 0.219709 0.121
662 0.77102 0.859967 0.217294 0.131
663 1 0.846598 0.227562 0.1245
664 0.869869 0.843237 0.231197 0.1205
665 1 0.866089 0.212078 0.126
666 0.725578 0.860546 0.21477 0.125
667 1 0.848459 0.230194 0.128
668 0.893948 0.858561 0.219313 0.1115
669 1 0.853648 0.224853 0.1275
670 0.535569 0.848729 0.229079 0.1185
671 0.902005 0.848112 0.224001 0.119
672 0.780084 0.85646 0.222445 0.12
673 0.965209 0.860675 0.213495 0.116
674 1 0.850501 0.225045 0.1035
675 0.901547 0.849204 0.22603 0.115
676 0.797418 0.855434 0.220288 0.126
677 0.953398 0.852448 0.220009 0.1155
678 0.848811 0.840208 0.231307 0.109
679 0.890347 0.85234 0.219727 0.1135
680 0.628712 0.857658 0.21921 0.12
681 1 0.859883 0.217515 0.1275
682 0.616932 0.856707 0.219605 0.1185
683 1 0.867572 0.217167 0.1215
684 1 0.859429 0.216269 0.1245
685 1 0.850398 0.221211 0.1
686 0.78811 0.853638 0.222663 0.1235
687 1 0.852271 0.216528 0.116
688 0.713889 0.856274 0.220884 0.115
689 0.480941 0.848623 0.222638 0.1155
690 1 0.852563 0.22663 0.109
691 0.806543 0.848741 0.223772 0.119
692 0.855342 0.849337 0.224403 0.1135
693 1 0.859127 0.216468 0.114
694 1 0.852323 0.224129 0.104
695 1 0.850599 0.226121 0.1085
696 0.472976 0.862715 0.217948 0.1295
